,Order ID,Customer Name,Order Amount,Order Date
0,1,Customer 1,411.24,2024-02-10
1,2,Customer 2,399.56,2024-05-09
2,3,Customer 3,497.15,2023-12-22
3,4,Customer 4,1496.6,2024-04-30
4,5,Customer 5,1249.73,2024-06-28
5,6,Customer 6,1104.72,2024-02-13
6,7,Customer 7,1368.98,2024-06-01
7,8,Customer 8,783.99,2024-07-10
8,9,Customer 9,1476.29,2024-01-10
9,10,Customer 10,1430.78,2024-08-14
10,11,Customer 11,232.08,2024-04-17
11,12,Customer 12,392.98,2024-10-04
12,13,Customer 13,344.5,2024-10-04
13,14,Customer 14,145.23,2024-02-15
14,15,Customer 15,459.63,2023-12-05
15,16,Customer 16,511.8,2024-10-21
16,17,Customer 17,108.11,2024-07-05
17,18,Customer 18,498.51,2024-06-16
18,19,Customer 19,1413.79,2024-10-17
19,20,Customer 20,330.33,2024-10-19
20,21,Customer 21,1124.82,2024-10-09
21,22,Customer 22,1262.7,2023-11-09
22,23,Customer 23,1273.64,2024-02-26
23,24,Customer 24,619.57,2024-07-11
24,25,Customer 25,957.93,2024-09-26
25,26,Customer 26,633.51,2024-01-25
26,27,Customer 27,1416.83,2024-04-29
27,28,Customer 28,154.06,2023-12-01
28,29,Customer 29,749.9,2024-04-22
29,30,Customer 30,1172.18,2024-07-20
30,31,Customer 31,548.87,2024-09-06
31,32,Customer 32,959.88,2024-05-23
32,33,Customer 33,791.23,2024-03-16
33,34,Customer 34,1246.76,2024-03-06
34,35,Customer 35,582.63,2024-10-10
35,36,Customer 36,288.35,2024-04-14
36,37,Customer 37,438.8,2023-11-04
37,38,Customer 38,583.21,2024-01-25
38,39,Customer 39,248.33,2024-06-12
39,40,Customer 40,1297.26,2024-06-15
40,41,Customer 41,903.28,2024-06-23
41,42,Customer 42,203.61,2024-09-28
42,43,Customer 43,256.47,2023-11-20
43,44,Customer 44,929.65,2024-07-28
44,45,Customer 45,1347.87,2024-09-03
45,46,Customer 46,1018.99,2024-05-12
46,47,Customer 47,466.22,2024-08-21
47,48,Customer 48,295.84,2024-03-15
48,49,Customer 49,152.68,2024-03-01
49,50,Customer 50,1268.85,2024-07-08
50,51,Customer 51,1160.18,2024-03-18
51,52,Customer 52,427.1,2024-01-29
52,53,Customer 53,507.67,2024-09-21
53,54,Customer 54,1139.31,2024-02-22
54,55,Customer 55,635.56,2024-02-28
55,56,Customer 56,853.84,2024-09-11
56,57,Customer 57,234.79,2024-10-09
57,58,Customer 58,576.29,2024-02-12
58,59,Customer 59,564.77,2023-12-17
59,60,Customer 60,96.11,2023-11-05
60,61,Customer 61,761.63,2023-12-02
61,62,Customer 62,1334.25,2024-10-03
62,63,Customer 63,636.29,2024-07-05
63,64,Customer 64,789.53,2024-07-14
64,65,Customer 65,1103.88,2024-05-30
65,66,Customer 66,751.1,2024-02-11
66,67,Customer 67,240.72,2023-12-31
67,68,Customer 68,695.88,2024-01-27
68,69,Customer 69,405.21,2024-09-08
69,70,Customer 70,175.1,2024-03-18
70,71,Customer 71,541.85,2024-01-28
71,72,Customer 72,1212.24,2024-07-07
72,73,Customer 73,594.05,2024-07-14
73,74,Customer 74,1083.71,2024-09-30
74,75,Customer 75,1279.63,2024-04-11
75,76,Customer 76,284.31,2023-12-27
76,77,Customer 77,866.73,2024-06-16
77,78,Customer 78,323.12,2024-05-30
78,79,Customer 79,818.88,2024-08-22
79,80,Customer 80,805.3,2023-11-26
80,81,Customer 81,794.56,2024-01-21
81,82,Customer 82,817.98,2024-06-13
82,83,Customer 83,979.4,2024-01-23
83,84,Customer 84,1444.19,2024-01-06
84,85,Customer 85,1468.17,2023-11-15
85,86,Customer 86,1029.34,2024-05-04
86,87,Customer 87,1036.31,2024-10-20
87,88,Customer 88,1475.96,2024-06-09
88,89,Customer 89,1347.91,2024-04-16
89,90,Customer 90,1212.36,2024-05-25
90,91,Customer 91,571.79,2024-03-13
91,92,Customer 92,1061.62,2024-08-18
92,93,Customer 93,772.28,2024-05-19
93,94,Customer 94,855.57,2024-06-06
94,95,Customer 95,737.84,2023-12-29
95,96,Customer 96,1074.47,2024-07-04
96,97,Customer 97,953.61,2024-05-29
97,98,Customer 98,1107.97,2024-04-10
98,99,Customer 99,1316.34,2024-01-19
99,100,Customer 100,425.22,2024-02-17
100,101,Customer 101,114.26,2024-08-25
101,102,Customer 102,898.61,2024-03-03
102,103,Customer 103,607.89,2023-11-08
103,104,Customer 104,1284.47,2024-02-26
104,105,Customer 105,472.33,2024-04-07
105,106,Customer 106,1267.32,2024-02-05
106,107,Customer 107,1386.38,2024-03-22
107,108,Customer 108,144.54,2024-04-15
108,109,Customer 109,1239.21,2023-12-31
109,110,Customer 110,175.0,2023-10-27
110,111,Customer 111,747.51,2024-06-02
111,112,Customer 112,964.24,2024-08-15
112,113,Customer 113,1179.25,2023-11-04
113,114,Customer 114,1400.81,2024-10-26
114,115,Customer 115,1025.49,2024-05-10
115,116,Customer 116,599.45,2024-09-01
116,117,Customer 117,1413.11,2023-11-29
117,118,Customer 118,958.55,2024-02-04
118,119,Customer 119,547.26,2023-11-12
119,120,Customer 120,963.96,2023-12-03
120,121,Customer 121,200.5,2024-01-15
121,122,Customer 122,1353.8,2024-06-17
122,123,Customer 123,467.89,2024-08-29
123,124,Customer 124,670.75,2023-12-12
124,125,Customer 125,1455.33,2024-08-01
125,126,Customer 126,344.19,2024-03-11
126,127,Customer 127,1347.27,2024-03-23
127,128,Customer 128,359.95,2024-03-24
128,129,Customer 129,1223.0,2024-08-10
129,130,Customer 130,197.07,2024-08-03
130,131,Customer 131,602.3,2024-03-10
131,132,Customer 132,946.96,2024-02-28
132,133,Customer 133,388.78,2024-07-21
